contract,comd,status,batch_count,tick_count,bars_match,bar_diff,times_match,volume_match,turnover_match,open_interest_match
CY2209,CY,ok,17399,17399,True,0,True,True,True,True
cu1502,cu,ok,23362,23362,True,0,True,True,True,True
pg2111,pg,ok,17306,17306,True,0,True,True,True,True
TA2012,TA,ok,15990,15990,True,0,True,True,True,True
ZC1611,ZC,ok,16588,16588,True,0,True,True,True,True
fu2210,fu,ok,17563,17563,True,0,True,True,True,True
l2111,l,ok,17491,17491,True,0,True,True,True,True
sc2102,sc,ok,24461,24461,True,0,True,True,True,True
jm2201,jm,ok,17551,17551,True,0,True,True,True,True
SM2408,SM,ok,11664,11664,True,0,True,True,True,True
ni2305,ni,ok,23228,23228,True,0,True,True,True,True
rr2207,rr,ok,16983,16983,True,0,True,True,True,True
y1607,y,ok,9874,9874,True,0,True,True,True,True
SM2402,SM,ok,11904,11904,True,0,True,True,True,True
ME1503,ME,ok,6125,6125,True,0,True,True,True,True
sc2007,sc,ok,23370,23370,True,0,True,True,True,True
fu2403,fu,ok,17589,17589,True,0,True,True,True,True
zn1611,zn,ok,21314,21314,True,0,True,True,True,True
ni2605,ni,ok,9990,9990,True,0,True,True,True,True
TA1312,TA,ok,8180,8180,True,0,True,True,True,True
CJ2009,CJ,ok,11503,11503,True,0,True,True,True,True
fu1208,fu,ok,11093,11093,True,0,True,True,True,True
al1007,al,ok,6192,6192,True,0,True,True,True,True
wr2407,wr,ok,11010,11010,True,0,True,True,True,True
b1810,b,ok,10158,10158,True,0,True,True,True,True
lc2509,lc,ok,11568,11568,True,0,True,True,True,True
fu2207,fu,ok,17338,17338,True,0,True,True,True,True
CY1909,CY,ok,15973,15973,True,0,True,True,True,True
a1007,a,ok,5476,5476,True,0,True,True,True,True
MA2604,MA,ok,8904,8904,True,0,True,True,True,True
m1905,m,ok,17710,17710,True,0,True,True,True,True
ao2405,ao,ok,20760,20760,True,0,True,True,True,True
sc2209,sc,ok,78250,78250,True,0,True,True,True,True
y1305,y,ok,11615,11615,True,0,True,True,True,True
v1104,v,ok,3222,3222,True,0,True,True,True,True
PK2510,PK,ok,11568,11568,True,0,True,True,True,True
MA1809,MA,ok,17668,17668,True,0,True,True,True,True
lu2305,lu,ok,17454,17454,True,0,True,True,True,True
SR1307,SR,ok,7996,7996,True,0,True,True,True,True
IH2509,IH,ok,8200,8200,True,0,True,True,True,True
WH1903,WH,ok,10870,10870,True,0,True,True,True,True
cu1211,cu,ok,11711,11711,True,0,True,True,True,True
cu2406,cu,ok,23034,23034,True,0,True,True,True,True
au1602,au,ok,24566,24566,True,0,True,True,True,True
fb2512,fb,ok,9663,9663,True,0,True,True,True,True
SA2410,SA,ok,17418,17418,True,0,True,True,True,True
lc2406,lc,ok,10451,10451,True,0,True,True,True,True
nr2304,nr,ok,17572,17572,True,0,True,True,True,True
l1401,l,ok,11397,11397,True,0,True,True,True,True
ZC2501,ZC,ok,8898,8898,True,0,True,True,True,True
