comd,auction_time,opening_time,closing_time
SH,,09:00:00,10:15:00
SH,,10:30:00,11:30:00
SH,,13:30:00,15:00:00
SHC,,21:00:00,23:00:00
SHC,,09:00:00,10:15:00
SHC,,10:30:00,11:30:00
SHC,,13:30:00,15:00:00
SHP,,21:00:00,23:00:00
SHP,,09:00:00,10:15:00
SHP,,10:30:00,11:30:00
SHP,,13:30:00,15:00:00
SM,,09:00:00,10:15:00
SM,,10:30:00,11:30:00
SM,,13:30:00,15:00:00
SMC,,09:00:00,10:15:00
SMC,,10:30:00,11:30:00
SMC,,13:30:00,15:00:00
SMP,,09:00:00,10:15:00
SMP,,10:30:00,11:30:00
SMP,,13:30:00,15:00:00
SR,,21:00:00,23:00:00
SR,,09:00:00,10:15:00
SR,,10:30:00,11:30:00
SR,,13:30:00,15:00:00
SRC,,21:00:00,23:00:00
SRC,,09:00:00,10:15:00
SRC,,10:30:00,11:30:00
SRC,,13:30:00,15:00:00
SRP,,21:00:00,23:00:00
SRP,,09:00:00,10:15:00
SRP,,10:30:00,11:30:00
SRP,,13:30:00,15:00:00
T,09:25:00,09:30:00,11:30:00
T,,13:00:00,15:15:00
TA,,21:00:00,23:00:00
TA,,09:00:00,10:15:00
TA,,10:30:00,11:30:00
TA,,13:30:00,15:00:00
TAC,,21:00:00,23:00:00
TAC,,09:00:00,10:15:00
TAC,,10:30:00,11:30:00
TAC,,13:30:00,15:00:00
TAP,,21:00:00,23:00:00
TAP,,09:00:00,10:15:00
TAP,,10:30:00,11:30:00
TAP,,13:30:00,15:00:00
TF,09:25:00,09:30:00,11:30:00
TF,,13:00:00,15:15:00
TL,09:25:00,09:30:00,11:30:00
TL,,13:00:00,15:15:00
TS,09:25:00,09:30:00,11:30:00
TS,,13:00:00,15:15:00
UR,,09:00:00,10:15:00
UR,,10:30:00,11:30:00
UR,,13:30:00,15:00:00
URC,,09:00:00,10:15:00
URC,,10:30:00,11:30:00
URC,,13:30:00,15:00:00
URP,,09:00:00,10:15:00
URP,,10:30:00,11:30:00
URP,,13:30:00,15:00:00
WH,,09:00:00,10:15:00
WH,,10:30:00,11:30:00
WH,,13:30:00,15:00:00
ZC,,21:00:00,23:00:00
ZC,,09:00:00,10:15:00
ZC,,10:30:00,11:30:00
ZC,,13:30:00,15:00:00
ZCC,,21:00:00,23:00:00
ZCC,,09:00:00,10:15:00
ZCC,,10:30:00,11:30:00
ZCC,,13:30:00,15:00:00
ZCP,,21:00:00,23:00:00
ZCP,,09:00:00,10:15:00
ZCP,,10:30:00,11:30:00
ZCP,,13:30:00,15:00:00
a,20:55:00,21:00:00,23:00:00
a,,09:00:00,10:15:00
a,,10:30:00,11:30:00
a,,13:30:00,15:00:00
a_o,20:55:00,21:00:00,23:00:00
a_o,,09:00:00,10:15:00
a_o,,10:30:00,11:30:00
a_o,,13:30:00,15:00:00
ad,20:55:00,21:00:00,02:30:00
ad,,09:00:00,10:15:00
ad,,10:30:00,11:30:00
ad,,13:30:00,15:00:00
ad_o,20:55:00,21:00:00,02:30:00
ad_o,,09:00:00,10:15:00
ad_o,,10:30:00,11:30:00
ad_o,,13:30:00,15:00:00
ag,20:55:00,21:00:00,02:30:00
ag,,09:00:00,10:15:00
ag,,10:30:00,11:30:00
ag,,13:30:00,15:00:00
ag_o,20:55:00,21:00:00,02:30:00
ag_o,,09:00:00,10:15:00
ag_o,,10:30:00,11:30:00
ag_o,,13:30:00,15:00:00
al,20:55:00,21:00:00,01:00:00
al,,09:00:00,10:15:00
al,,10:30:00,11:30:00
al,,13:30:00,15:00:00
al_o,20:55:00,21:00:00,01:00:00
al_o,,09:00:00,10:15:00
al_o,,10:30:00,11:30:00
al_o,,13:30:00,15:00:00
ao,20:55:00,21:00:00,01:00:00
ao,,09:00:00,10:15:00
ao,,10:30:00,11:30:00
ao,,13:30:00,15:00:00
ao_o,20:55:00,21:00:00,01:00:00
ao_o,,09:00:00,10:15:00
ao_o,,10:30:00,11:30:00
ao_o,,13:30:00,15:00:00
au,20:55:00,21:00:00,02:30:00
au,,09:00:00,10:15:00
au,,10:30:00,11:30:00
au,,13:30:00,15:00:00
au_o,20:55:00,21:00:00,02:30:00
au_o,,09:00:00,10:15:00
au_o,,10:30:00,11:30:00
au_o,,13:30:00,15:00:00
b,20:55:00,21:00:00,23:00:00
b,,09:00:00,10:15:00
b,,10:30:00,11:30:00
b,,13:30:00,15:00:00
b_o,20:55:00,21:00:00,23:00:00
b_o,,09:00:00,10:15:00
b_o,,10:30:00,11:30:00
b_o,,13:30:00,15:00:00
bb,08:55:00,09:00:00,10:15:00
bb,,10:30:00,11:30:00
bb,,13:30:00,15:00:00
bc,20:55:00,21:00:00,01:00:00
bc,,09:00:00,10:15:00
bc,,10:30:00,11:30:00
bc,,13:30:00,15:00:00
br,20:55:00,21:00:00,23:00:00
br,,09:00:00,10:15:00
br,,10:30:00,11:30:00
br,,13:30:00,15:00:00
br_o,20:55:00,21:00:00,23:00:00
br_o,,09:00:00,10:15:00
br_o,,10:30:00,11:30:00
br_o,,13:30:00,15:00:00
bu,20:55:00,21:00:00,23:00:00
bu,,09:00:00,10:15:00
bu,,10:30:00,11:30:00
bu,,13:30:00,15:00:00
bu_o,20:55:00,21:00:00,23:00:00
bu_o,,09:00:00,10:15:00
bu_o,,10:30:00,11:30:00
bu_o,,13:30:00,15:00:00
bz,20:55:00,21:00:00,23:00:00
bz,,09:00:00,10:15:00
bz,,10:30:00,11:30:00
bz,,13:30:00,15:00:00
bz_o,20:55:00,21:00:00,23:00:00
bz_o,,09:00:00,10:15:00
bz_o,,10:30:00,11:30:00
bz_o,,13:30:00,15:00:00
c,20:55:00,21:00:00,23:00:00
c,,09:00:00,10:15:00
c,,10:30:00,11:30:00
c,,13:30:00,15:00:00
c_o,20:55:00,21:00:00,23:00:00
c_o,,09:00:00,10:15:00
c_o,,10:30:00,11:30:00
c_o,,13:30:00,15:00:00
cs,20:55:00,21:00:00,23:00:00
cs,,09:00:00,10:15:00
cs,,10:30:00,11:30:00
cs,,13:30:00,15:00:00
cs_o,20:55:00,21:00:00,23:00:00
cs_o,,09:00:00,10:15:00
cs_o,,10:30:00,11:30:00
cs_o,,13:30:00,15:00:00
cu,20:55:00,21:00:00,01:00:00
cu,,09:00:00,10:15:00
cu,,10:30:00,11:30:00
cu,,13:30:00,15:00:00
cu_o,20:55:00,21:00:00,01:00:00
cu_o,,09:00:00,10:15:00
cu_o,,10:30:00,11:30:00
cu_o,,13:30:00,15:00:00
eb,20:55:00,21:00:00,23:00:00
eb,,09:00:00,10:15:00
eb,,10:30:00,11:30:00
eb,,13:30:00,15:00:00
eb_o,20:55:00,21:00:00,23:00:00
eb_o,,09:00:00,10:15:00
eb_o,,10:30:00,11:30:00
eb_o,,13:30:00,15:00:00
ec,08:55:00,09:00:00,10:15:00
ec,,10:30:00,11:30:00
ec,,13:30:00,15:00:00
eg,20:55:00,21:00:00,23:00:00
eg,,09:00:00,10:15:00
eg,,10:30:00,11:30:00
eg,,13:30:00,15:00:00
eg_o,20:55:00,21:00:00,23:00:00
eg_o,,09:00:00,10:15:00
eg_o,,10:30:00,11:30:00
eg_o,,13:30:00,15:00:00
fb,08:55:00,09:00:00,10:15:00
fb,,10:30:00,11:30:00
fb,,13:30:00,15:00:00
fu,20:55:00,21:00:00,23:00:00
fu,,09:00:00,10:15:00
fu,,10:30:00,11:30:00
fu,,13:30:00,15:00:00
fu_o,20:55:00,21:00:00,23:00:00
fu_o,,09:00:00,10:15:00
fu_o,,10:30:00,11:30:00
fu_o,,13:30:00,15:00:00
hc,20:55:00,21:00:00,23:00:00
hc,,09:00:00,10:15:00
hc,,10:30:00,11:30:00
hc,,13:30:00,15:00:00
i,20:55:00,21:00:00,23:00:00
i,,09:00:00,10:15:00
i,,10:30:00,11:30:00
i,,13:30:00,15:00:00
i_o,20:55:00,21:00:00,23:00:00
i_o,,09:00:00,10:15:00
i_o,,10:30:00,11:30:00
i_o,,13:30:00,15:00:00
j,20:55:00,21:00:00,23:00:00
j,,09:00:00,10:15:00
j,,10:30:00,11:30:00
j,,13:30:00,15:00:00
jd,08:55:00,09:00:00,10:15:00
jd,,10:30:00,11:30:00
jd,,13:30:00,15:00:00
jd_o,08:55:00,09:00:00,10:15:00
jd_o,,10:30:00,11:30:00
jd_o,,13:30:00,15:00:00
jm,20:55:00,21:00:00,23:00:00
jm,,09:00:00,10:15:00
jm,,10:30:00,11:30:00
jm,,13:30:00,15:00:00
l,20:55:00,21:00:00,23:00:00
l,,09:00:00,10:15:00
l,,10:30:00,11:30:00
l,,13:30:00,15:00:00
l_o,20:55:00,21:00:00,23:00:00
l_o,,09:00:00,10:15:00
l_o,,10:30:00,11:30:00
l_o,,13:30:00,15:00:00
lc,08:55:00,09:00:00,10:15:00
lc,,10:30:00,11:30:00
lc,,13:30:00,15:00:00
lc_o,08:55:00,09:00:00,10:15:00
lc_o,,10:30:00,11:30:00
lc_o,,13:30:00,15:00:00
lg,08:55:00,09:00:00,10:15:00
lg,,10:30:00,11:30:00
lg,,13:30:00,15:00:00
lg_o,08:55:00,09:00:00,10:15:00
lg_o,,10:30:00,11:30:00
lg_o,,13:30:00,15:00:00
lh,08:55:00,09:00:00,10:15:00
lh,,10:30:00,11:30:00
lh,,13:30:00,15:00:00
lh_o,08:55:00,09:00:00,10:15:00
lh_o,,10:30:00,11:30:00
lh_o,,13:30:00,15:00:00
lu,20:55:00,21:00:00,23:00:00
lu,,09:00:00,10:15:00
lu,,10:30:00,11:30:00
lu,,13:30:00,15:00:00
m,20:55:00,21:00:00,23:00:00
m,,09:00:00,10:15:00
m,,10:30:00,11:30:00
m,,13:30:00,15:00:00
m_o,20:55:00,21:00:00,23:00:00
m_o,,09:00:00,10:15:00
m_o,,10:30:00,11:30:00
m_o,,13:30:00,15:00:00
ni,20:55:00,21:00:00,01:00:00
ni,,09:00:00,10:15:00
ni,,10:30:00,11:30:00
ni,,13:30:00,15:00:00
ni_o,20:55:00,21:00:00,01:00:00
ni_o,,09:00:00,10:15:00
ni_o,,10:30:00,11:30:00
ni_o,,13:30:00,15:00:00
nr,20:55:00,21:00:00,23:00:00
nr,,09:00:00,10:15:00
nr,,10:30:00,11:30:00
nr,,13:30:00,15:00:00
op,20:55:00,21:00:00,23:00:00
op,,09:00:00,10:15:00
op,,10:30:00,11:30:00
op,,13:30:00,15:00:00
op_o,20:55:00,21:00:00,23:00:00
op_o,,09:00:00,10:15:00
op_o,,10:30:00,11:30:00
op_o,,13:30:00,15:00:00
p,20:55:00,21:00:00,23:00:00
p,,09:00:00,10:15:00
p,,10:30:00,11:30:00
p,,13:30:00,15:00:00
p_o,20:55:00,21:00:00,23:00:00
p_o,,09:00:00,10:15:00
p_o,,10:30:00,11:30:00
p_o,,13:30:00,15:00:00
pb,20:55:00,21:00:00,01:00:00
pb,,09:00:00,10:15:00
pb,,10:30:00,11:30:00
pb,,13:30:00,15:00:00
pb_o,20:55:00,21:00:00,01:00:00
pb_o,,09:00:00,10:15:00
